,id,threadId,published_at,author_name,text,likeCount,is_reply,cleaned,video_id,video_published_at
1488,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T16:16:59Z,Gradivus.,"​@CarbonGlassMan Yeah, the same charity that helped people during the industrial revolution. Nice one.

Tax cuts for the rich are not good for the economy because they worsen income inequality. As you said, everyone is the economy and if half the country is poor, ""the economy"" is not benefitting from those tax cuts more than it's hurt by them. Larger tax cuts for medium and low incomes are the common-sense solution as they stimulate demand but also ensure that the gap between rich and poor doesn't grow bigger every year. I've already argued that and I think we can only agree to disagree if you think every tax cut is a good tax cut. The data is clear to me that progressive taxation is the right way to go.",0.0,1.0,,cVkAsPizAbU,
1489,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T15:36:56Z,CarbonGlassMan,"@Gradivus. charity is what should help poor people, which is how they were helped for thousands of years. The discussion is over?  That's the problem with leftists. You can't hear ideas that you don't already have. Tax cuts, you keep saying for the rich for some reason, are good for an economy and everyone in the country. Didn't you notice how many people got jobs after the tax cuts? That helps poor people that had no job.it seems you're more interested in appearing to help poor people than actually helping poor people. That's the difference in liberals and conservatives. I want to help everyone. I want my country as a whole to do well. You just want to appear to be helping certain people.",1.0,1.0,,cVkAsPizAbU,
1490,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T14:51:30Z,Gradivus.,"​@CarbonGlassMan There we go, you also want to abolish government assistance to poor people. While also giving tax cuts to the rich that nobody is really asking for. The discussion is over then, there is no common ground.",0.0,1.0,,cVkAsPizAbU,
1491,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T14:31:23Z,CarbonGlassMan,"@Gradivus. the rich don't profit from an economy. They are the economy. Everyone in a country is the economy. The economy isn't a thing government created and allows the people to participate in. People profit off their work and ideas. The reason someone becomes rich is because they offer something that millions of people want and will buy. 

Redistribution doesn't protect freedom. It kills it by making people dependent on government handouts. It makes people poor. It incentivizes laziness. The constitution does not say wealth should be redistributed. In fact, the founders who wrote the constitution would have called redistribution theft.

 And no. The rich shouldn't pay the most. Everyone should pay the same percentage.with all your talk about equality. That would be equality. But envy prevents you from wanting that kind of equality.",2.0,1.0,,cVkAsPizAbU,
1492,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T13:19:13Z,Gradivus.,"​@CarbonGlassMan Do you believe that rich people, who profit the most from a country's economy, SHOULDN'T pay the majority of the taxes so the country can work for everyone? Fairness goes both ways, period. Redistribution is not a violation of freedom, in fact redistribution protects freedom for all citizens, including the poorer ones. The government is constitutionally supposed to protect freedom.

Income is always distributed, either by the free market alone or by the free market combined with taxes that redistribute part of it. The latter leads to a more equal distribution, that's proven.",0.0,1.0,,cVkAsPizAbU,
1493,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T13:06:24Z,CarbonGlassMan,"@Gradivus. Nonsense. You can lower taxes for everyone and the IRS will still collect more money. I didn't ignore anything you said. You're just wrong on this. You seem to have fallen for the left wing nonsense that tells you to hate or be envious of people that have more than you. And income is earned, not distributed. The US is not supposed to distribute income. That is against what America and freedom is. 


And lowering taxes is NOT, absolutely not ""giving them money"". It's not the government's money. The government didn't earn the money. The people earned it. Yes, the government can tax. That is necessary in order to pay for a government. But to say it is giving people money because after the government takes it away from you, they can decide to spend it on a road is ludicrous. I can steal your money and spend it on a road. If I don't steal your money, that is not an example of me giving you money. This is such a simple, basic concept, I'm having trouble believing that you don't understand this. 


The top 10% of income earners pay 70% of all taxes collected. You people seem to forget this, or you just flat out ignore it because it doesn't change the fact that you're still jealous of the rich.",2.0,1.0,,cVkAsPizAbU,
1494,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T10:53:11Z,Gradivus.,"@CarbonGlassMan Relative to the status quo, it is ""giving them money"", because that money could also be used to invest in public infrastructure. The government is not prohibited from collecting taxes. It can choose freely who it taxes and at what rates, so it's only wise to choose the taxation that actually improves the income distribution for all Americans.

Also, you just ignored what I said about tax cuts in other areas. If you don't lower the taxes for the rich, you can lower them more for the medium and lower incomes...",0.0,1.0,,cVkAsPizAbU,
1495,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-21T00:25:38Z,CarbonGlassMan,"@Gradivus. First, when someone's taxes are lowered, that is not ""giving"" the person money. It's an example of the government TAKING less of the money someone earned. It's the person's money. Not yours and not government's. 


Second, Rich people invest in companies, machinery, their own businesses, which creates jobs. Buying luxury items means jobs for the people who build, maintain and sell the luxury items. I never understood how blind people could be when they criticized Mitt Romney for having an elevator in his house. Who did they think built the elevator? Who installed it? Who repairs it? Who designs it? Rich people or the working class? That's right. The working class. Do you have any idea how much money I made installing carpet in the movie theater rooms in the homes of millionaires? A lot. I supported my family with that job. 


Third, when you cut taxes, the IRS takes in more money. It happens every time and it's happened this time as well. So the government actually has more money to spend on what you think it should be spent on because those rich people grow their businesses, which means hiring more people, which means increasing the tax base. Increasing the tax base means more people are working and paying taxes, so the government collects more money. Less money per person, but there are more people paying taxes. If I charge you $100 a year, I get $100 a year. If I charge you $75 a year and a new guy gets a job and I charge him $75 a year, I just increased the amount of money I collect to $150 a year. So I lowered what I charge per person, but I have more people to charge. 


National debt is something Democrats worry about ONLY when a Republican is in office. Like I said, I am not happy about that either, but as fart as military spending, we need to spend money on the military. It's what keeps us safe and the military was in horrible shape before Trump took office. Half of the fighter jets weren't even flight worthy. 


Man made climate change is a myth. It's nonsense that politicians use to get people to agree to the government telling them what to do and to take more of their money. Well sure, pick my pocket if it's going to save the planet. That is such freaking nonsense. I can't believe anyone falls for that crap. 


It's not short term GDP growth. What do you think, businesses that expand and come into being just go away after a few years? If a Democrat gets in office, it will be short term GDP growth because when the Democrats raise taxes and regulate people out of business, the economy will contract.",1.0,1.0,,cVkAsPizAbU,
1496,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-20T21:31:40Z,Gradivus.,"​@CarbonGlassMan Cutting taxes for the rich is simply a stupid idea. Those taxes are accepted by everyone in society, so cutting them just means you blindly give the people profiting the most from our society money that'll only be spent on luxury, such as buying more real estate, luxury cars or private jets instead of being invested into public infrastructure, health care, environmental protection and more. Even if you don't want the money for any of that, larger tax cuts for average wage earners are possible if you don't cut taxes on high incomes. 

There are other serious downsides to Trump's policies, like the massively rising natl debt, the increasing military spending despite his promise to stop wasting money on war, environmental rollbacks and his total inaction on climate change (even if the Paris Accord is badly insufficient). More short-term GDP growth does not outweigh those problems and I don't see how you can say that 99% of his policies are good.",0.0,1.0,,cVkAsPizAbU,
1497,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-20T20:57:32Z,CarbonGlassMan,"@Gradivus. the top tax brackets pay the most in taxes, both in terms of dollar amount and percentage, so of course they got the biggest cut. That only makes sense. Everyone I know and work with, and none of us are even upper middle class, got a tax cut. More money in our paychecks. Plus we all got more insurance benefits and bonuses and raises. The economy is good. People are doing better than they have in decades. This is a fact,  no matter how you measure it. I don't know why you want to lie to yourself and beg for a worse economy. Just because of the name brand of a politician? Polls also show that the vast majority of people are happy with this economy. So what exactly are you trying to argue? That because out of 100 things, only 99 of them are good, so throw him out for not being perfect? That is ridiculous.",0.0,1.0,,cVkAsPizAbU,
1498,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-20T17:53:53Z,Gradivus.,"@CarbonGlassMan I'm not lying and you just said it yourself. Almost everyone got a tax cut, of which the highest incomes got the biggest cuts (even just in terms of percentage) while the lowest tax bracket, which was at 10% before, is now part of the 12% tax bracket. They did in fact get a tax raise. You might want to look at the numbers instead of justifying everything Orange Robin Hood in Reverse does. The poorer you get, the smaller your Trump tax cut is. That's the simple truth about this reform, no matter what you think of the Dems.",1.0,1.0,,cVkAsPizAbU,
1499,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-20T17:07:35Z,CarbonGlassMan,"@Gradivus. you're lying. Almost everyone got a tax cut.  That is a fact. Saying it was only for the rich is a democrat talking point lie. It's a lie designed to fool people that refuse to look things up, and just take the word of leftist politicians and publications. Any people geting pissed about a rich person getting a tax cut is silly. What do you think the rich do with the money they keep from their tax cut? They spend it and invest it, which helps non rich people. I use to work in the homes of the rich and made good money doing it. Now I work on race cars for the rich. Again, my job exists because they're rich. Corporations add their tax burden into the price of everything they sell. That means we pay their taxes. The corporation doesn't pay it. You and I do in the firm of higher prices. 

Trump did increase the debt which I do not like at all, but it's funny to hear that from democrats that never once complained about Obama's spending and debt increases. A democrat complaining about Republican spending is like a rapist complaining about how a boy was less than respectful to a woman he dated.

Trump isn't for the little man. That's democrat nonsense where they divide Americans into groups and pit the groups against each other. Trump is for Americans.  All Americans.",5.0,1.0,,cVkAsPizAbU,
1500,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2020-02-20T12:06:04Z,Gradivus.,"@CarbonGlassMan Trump hands out tax cuts to the rich like they're candy while raising taxes on the lowest incomes and only marginally cutting taxes for the middle class. He also didn't cut a single dollar of spending, instead he massively increased the national debt that every American carries. Yeah, he's absolutely ""for the little man"".",0.0,1.0,,cVkAsPizAbU,
1501,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2019-12-22T01:22:16Z,CarbonGlassMan,"@Stefano B. Climate change is not a problem. You've been tricked into believing it's a problem so you'll clamor for politicians to take your money, control your life and make them rich and powerful. I mean look at you. You're attacking Trump for saying we won't spend billions of your and my money to do nothing, but you said nothing about every other country signing on to the accord and agreeing to do absolutely nothing. They won't even be spending any money on doing nothing. We were going to spend billions to do nothing. You should be thanking Trump for calling out this fraud and not burning our money.",5.0,1.0,,cVkAsPizAbU,
1502,UgzNXwBIwj91Jx3gzVZ4AaABAg,UgzNXwBIwj91Jx3gzVZ4AaABAg,2019-12-14T14:04:35Z,UltraViolet Xrays,@Chronic2112 bingo. It's all a plan to sterilize us.,0.0,1.0,,cVkAsPizAbU,
1503,UgxGMwENJdiLCbZgkjV4AaABAg,UgxGMwENJdiLCbZgkjV4AaABAg,2019-09-10T01:54:34Z,longliveavalon12,You are the fraud,0.0,0.0,,cVkAsPizAbU,
1504,UgyXzL7mEO9nsMsf1NV4AaABAg,UgyXzL7mEO9nsMsf1NV4AaABAg,2019-09-10T01:37:15Z,Carl Slagle,This guy is a dumbass,0.0,0.0,,cVkAsPizAbU,
